line_id,crm_invoice_id,product_id,quantity,unit_price,line_total
CRM-LN-000054,CRM-INV-00019,PROD-0010,5,338.44,1692.20
CRM-LN-000055,CRM-INV-00020,PROD-0087,6,284.26,1705.56
CRM-LN-000056,CRM-INV-00020,PROD-0050,3,422.65,1267.95
CRM-LN-000057,CRM-INV-00020,PROD-0089,2,60.13,120.26
CRM-LN-000058,CRM-INV-00020,PROD-0065,6,482.41,2894.46
CRM-LN-000059,CRM-INV-00021,PROD-0044,7,246.34,1724.38
CRM-LN-000060,CRM-INV-00022,PROD-0058,8,378.28,3026.24
CRM-LN-000061,CRM-INV-00022,PROD-0030,6,494.13,2964.78
CRM-LN-000062,CRM-INV-00022,PROD-0071,7,405.68,2839.76
CRM-LN-000063,CRM-INV-00023,PROD-0011,5,283.89,1419.45
CRM-LN-000064,CRM-INV-00023,PROD-0032,2,221.97,443.94
CRM-LN-000065,CRM-INV-00023,PROD-0011,5,283.89,1419.45
CRM-LN-000066,CRM-INV-00023,PROD-0020,7,341.31,2389.17
CRM-LN-000067,CRM-INV-00024,PROD-0041,6,216.65,1299.90
CRM-LN-000068,CRM-INV-00024,PROD-0014,2,162.38,324.76
CRM-LN-000069,CRM-INV-00024,PROD-0001,5,33.55,167.75
CRM-LN-000070,CRM-INV-00024,PROD-0057,6,137.35,824.10
CRM-LN-000071,CRM-INV-00025,PROD-0024,7,363.40,2543.80
CRM-LN-000072,CRM-INV-00026,PROD-0014,1,162.38,162.38
CRM-LN-000073,CRM-INV-00026,PROD-0012,6,343.50,2061.00
CRM-LN-000074,CRM-INV-00026,PROD-0071,2,405.68,811.36
CRM-LN-000075,CRM-INV-00026,PROD-0077,6,483.25,2899.50
CRM-LN-000076,CRM-INV-00027,PROD-0050,2,422.65,845.30
CRM-LN-000077,CRM-INV-00027,PROD-0093,4,163.71,654.84
CRM-LN-000078,CRM-INV-00027,PROD-0074,3,21.14,63.42
CRM-LN-000079,CRM-INV-00027,PROD-0088,7,328.26,2297.82
CRM-LN-000080,CRM-INV-00028,PROD-0064,3,386.95,1160.85
CRM-LN-000081,CRM-INV-00028,PROD-0009,3,364.08,1092.24
CRM-LN-000082,CRM-INV-00028,PROD-0056,5,149.95,749.75
CRM-LN-000083,CRM-INV-00029,PROD-0047,5,450.44,2252.20
CRM-LN-000084,CRM-INV-00030,PROD-0077,4,483.25,1933.00
CRM-LN-000085,CRM-INV-00030,PROD-0059,2,123.75,247.50
CRM-LN-000086,CRM-INV-00030,PROD-0018,5,334.54,1672.70
CRM-LN-000087,CRM-INV-00030,PROD-0001,7,33.55,234.85
CRM-LN-000088,CRM-INV-00031,PROD-0057,6,137.35,824.10
CRM-LN-000089,CRM-INV-00031,PROD-0056,3,149.95,449.85
CRM-LN-000090,CRM-INV-00031,PROD-0039,6,351.57,2109.42
CRM-LN-000091,CRM-INV-00032,PROD-0041,3,216.65,649.95
CRM-LN-000092,CRM-INV-00032,PROD-0051,6,274.05,1644.30
CRM-LN-000093,CRM-INV-00032,PROD-0038,8,54.08,432.64
CRM-LN-000094,CRM-INV-00032,PROD-0074,4,21.14,84.56
CRM-LN-000095,CRM-INV-00033,PROD-0047,2,450.44,900.88
CRM-LN-000096,CRM-INV-00033,PROD-0073,4,335.84,1343.36
CRM-LN-000097,CRM-INV-00033,PROD-0076,3,358.04,1074.12
CRM-LN-000098,CRM-INV-00033,PROD-0088,1,328.26,328.26
CRM-LN-000099,CRM-INV-00034,PROD-0057,5,137.35,686.75
CRM-LN-000100,CRM-INV-00034,PROD-0089,2,60.13,120.26
CRM-LN-000101,CRM-INV-00035,PROD-0018,5,334.54,1672.70
CRM-LN-000102,CRM-INV-00035,PROD-0031,5,312.14,1560.70
CRM-LN-000103,CRM-INV-00035,PROD-0085,3,284.56,853.68
CRM-LN-000104,CRM-INV-00035,PROD-0092,7,175.43,1228.01
CRM-LN-000105,CRM-INV-00036,PROD-0062,7,76.22,533.54
CRM-LN-000106,CRM-INV-00036,PROD-0069,7,302.17,2115.19
CRM-LN-000107,CRM-INV-00036,PROD-0070,1,64.42,64.42
CRM-LN-000108,CRM-INV-00036,PROD-0047,2,450.44,900.88
CRM-LN-000109,CRM-INV-00036,PROD-0014,4,162.38,649.52
CRM-LN-000110,CRM-INV-00037,PROD-0006,28,295.91,8285.48
CRM-LN-000111,CRM-INV-00037,PROD-0083,30,213.74,6412.20
CRM-LN-000112,CRM-INV-00037,PROD-0052,20,245.42,4908.40
CRM-LN-000113,CRM-INV-00037,PROD-0056,13,127.46,1656.98
CRM-LN-000114,CRM-INV-00037,PROD-0002,13,313.09,4070.17
CRM-LN-000115,CRM-INV-00038,PROD-0072,4,394.58,1578.32
CRM-LN-000116,CRM-INV-00038,PROD-0058,6,378.28,2269.68
CRM-LN-000117,CRM-INV-00038,PROD-0051,8,274.05,2192.40
CRM-LN-000118,CRM-INV-00038,PROD-0099,3,21.86,65.58
CRM-LN-000119,CRM-INV-00038,PROD-0045,1,380.44,380.44
CRM-LN-000120,CRM-INV-00039,PROD-0015,3,309.23,927.69
CRM-LN-000121,CRM-INV-00040,PROD-0067,8,465.51,3724.08
CRM-LN-000122,CRM-INV-00040,PROD-0045,8,380.44,3043.52
CRM-LN-000123,CRM-INV-00041,PROD-0041,2,216.65,433.30
CRM-LN-000124,CRM-INV-00041,PROD-0039,1,351.57,351.57
CRM-LN-000125,CRM-INV-00041,PROD-0091,2,283.43,566.86
CRM-LN-000126,CRM-INV-00041,PROD-0003,6,492.35,2954.10
CRM-LN-000127,CRM-INV-00042,PROD-0095,17,91.72,1559.24
CRM-LN-000128,CRM-INV-00042,PROD-0067,15,395.68,5935.20
CRM-LN-000129,CRM-INV-00043,PROD-0060,4,380.80,1523.20
CRM-LN-000130,CRM-INV-00043,PROD-0052,3,288.73,866.19
CRM-LN-000131,CRM-INV-00043,PROD-0024,7,363.40,2543.80
CRM-LN-000132,CRM-INV-00043,PROD-0051,1,274.05,274.05
CRM-LN-000133,CRM-INV-00044,PROD-0055,7,173.52,1214.64
CRM-LN-000134,CRM-INV-00044,PROD-0001,4,33.55,134.20
CRM-LN-000135,CRM-INV-00044,PROD-0027,5,392.53,1962.65
CRM-LN-000136,CRM-INV-00044,PROD-0097,2,304.44,608.88
CRM-LN-000137,CRM-INV-00044,PROD-0074,2,21.14,42.28
CRM-LN-000138,CRM-INV-00045,PROD-0042,4,203.90,815.60
CRM-LN-000139,CRM-INV-00045,PROD-0059,2,123.75,247.50
CRM-LN-000140,CRM-INV-00045,PROD-0034,8,233.28,1866.24
CRM-LN-000141,CRM-INV-00046,PROD-0050,7,422.65,2958.55
CRM-LN-000142,CRM-INV-00046,PROD-0076,2,358.04,716.08
CRM-LN-000143,CRM-INV-00046,PROD-0045,6,380.44,2282.64
CRM-LN-000144,CRM-INV-00046,PROD-0059,3,123.75,371.25
CRM-LN-000145,CRM-INV-00046,PROD-0087,5,284.26,1421.30
CRM-LN-000146,CRM-INV-00047,PROD-0041,2,216.65,433.30
CRM-LN-000147,CRM-INV-00047,PROD-0031,5,312.14,1560.70
CRM-LN-000148,CRM-INV-00048,PROD-0066,7,482.89,3380.23
CRM-LN-000149,CRM-INV-00048,PROD-0054,3,141.18,423.54
CRM-LN-000150,CRM-INV-00049,PROD-0082,3,28.92,86.76
CRM-LN-000151,CRM-INV-00049,PROD-0072,3,394.58,1183.74
CRM-LN-000152,CRM-INV-00049,PROD-0063,5,474.66,2373.30
CRM-LN-000153,CRM-INV-00049,PROD-0018,3,334.54,1003.62
CRM-LN-000154,CRM-INV-00050,PROD-0046,1,276.04,276.04
CRM-LN-000155,CRM-INV-00051,PROD-0072,8,394.58,3156.64
CRM-LN-000156,CRM-INV-00051,PROD-0053,8,80.81,646.48
CRM-LN-000157,CRM-INV-00051,PROD-0054,8,141.18,1129.44
CRM-LN-000158,CRM-INV-00051,PROD-0063,3,474.66,1423.98
CRM-LN-000159,CRM-INV-00052,PROD-0038,1,54.08,54.08
CRM-LN-000160,CRM-INV-00052,PROD-0036,4,148.18,592.72
CRM-LN-000161,CRM-INV-00053,PROD-0073,8,335.84,2686.72
CRM-LN-000162,CRM-INV-00053,PROD-0071,2,405.68,811.36
CRM-LN-000163,CRM-INV-00053,PROD-0074,2,21.14,42.28
CRM-LN-000164,CRM-INV-00053,PROD-0035,6,386.42,2318.52
CRM-LN-000165,CRM-INV-00054,PROD-0070,4,64.42,257.68
CRM-LN-000166,CRM-INV-00054,PROD-0055,2,173.52,347.04
CRM-LN-000167,CRM-INV-00054,PROD-0095,4,107.90,431.60
CRM-LN-000168,CRM-INV-00054,PROD-0039,1,351.57,351.57
CRM-LN-000169,CRM-INV-00055,PROD-0057,2,137.35,274.70
CRM-LN-000170,CRM-INV-00056,PROD-0089,6,60.13,360.78
CRM-LN-000171,CRM-INV-00056,PROD-0091,7,283.43,1984.01
CRM-LN-000172,CRM-INV-00056,PROD-0022,3,311.47,934.41
CRM-LN-000173,CRM-INV-00056,PROD-0027,4,392.53,1570.12
CRM-LN-000174,CRM-INV-00056,PROD-0008,6,317.23,1903.38
CRM-LN-000175,CRM-INV-00057,PROD-0042,5,203.90,1019.50
CRM-LN-000176,CRM-INV-00057,PROD-0038,5,54.08,270.40
CRM-LN-000177,CRM-INV-00058,PROD-0018,7,334.54,2341.78
CRM-LN-000178,CRM-INV-00059,PROD-0090,3,163.51,490.53
CRM-LN-000179,CRM-INV-00059,PROD-0032,3,221.97,665.91
CRM-LN-000180,CRM-INV-00060,PROD-0063,3,474.66,1423.98
CRM-LN-000181,CRM-INV-00060,PROD-0074,5,21.14,105.70
CRM-LN-000182,CRM-INV-00060,PROD-0081,7,291.38,2039.66
CRM-LN-000183,CRM-INV-00060,PROD-0049,8,339.40,2715.20
CRM-LN-000184,CRM-INV-00061,PROD-0066,5,482.89,2414.45
CRM-LN-000185,CRM-INV-00061,PROD-0089,6,60.13,360.78
CRM-LN-000186,CRM-INV-00061,PROD-0059,8,123.75,990.00
CRM-LN-000187,CRM-INV-00061,PROD-0042,1,203.90,203.90
CRM-LN-000188,CRM-INV-00062,PROD-0082,6,28.92,173.52
CRM-LN-000189,CRM-INV-00062,PROD-0009,7,364.08,2548.56
CRM-LN-000190,CRM-INV-00062,PROD-0028,7,240.31,1682.17
CRM-LN-000191,CRM-INV-00062,PROD-0028,8,240.31,1922.48
CRM-LN-000192,CRM-INV-00063,PROD-0074,3,21.14,63.42
CRM-LN-000193,CRM-INV-00063,PROD-0073,8,335.84,2686.72
CRM-LN-000194,CRM-INV-00063,PROD-0044,1,246.34,246.34
CRM-LN-000195,CRM-INV-00063,PROD-0006,2,348.13,696.26
CRM-LN-000196,CRM-INV-00063,PROD-0081,8,291.38,2331.04
CRM-LN-000197,CRM-INV-00064,PROD-0001,7,33.55,234.85
CRM-LN-000198,CRM-INV-00064,PROD-0026,3,447.94,1343.82
CRM-LN-000199,CRM-INV-00064,PROD-0084,5,180.06,900.30
CRM-LN-000200,CRM-INV-00064,PROD-0021,5,86.47,432.35
CRM-LN-000201,CRM-INV-00065,PROD-0048,3,226.38,679.14
CRM-LN-000202,CRM-INV-00066,PROD-0055,2,173.52,347.04
CRM-LN-000203,CRM-INV-00066,PROD-0091,2,283.43,566.86
CRM-LN-000204,CRM-INV-00067,PROD-0076,4,358.04,1432.16
CRM-LN-000205,CRM-INV-00067,PROD-0067,8,465.51,3724.08
CRM-LN-000206,CRM-INV-00068,PROD-0055,3,173.52,520.56
CRM-LN-000207,CRM-INV-00069,PROD-0094,2,168.04,336.08
CRM-LN-000208,CRM-INV-00070,PROD-0018,7,334.54,2341.78
CRM-LN-000209,CRM-INV-00070,PROD-0100,3,37.08,111.24
CRM-LN-000210,CRM-INV-00070,PROD-0083,3,251.46,754.38
CRM-LN-000211,CRM-INV-00071,PROD-0084,3,180.06,540.18
CRM-LN-000212,CRM-INV-00071,PROD-0057,6,137.35,824.10
CRM-LN-000213,CRM-INV-00071,PROD-0093,4,163.71,654.84
CRM-LN-000214,CRM-INV-00071,PROD-0081,3,291.38,874.14
CRM-LN-000215,CRM-INV-00071,PROD-0053,8,80.81,646.48
CRM-LN-000216,CRM-INV-00072,PROD-0018,2,334.54,669.08
CRM-LN-000217,CRM-INV-00073,PROD-0041,14,184.15,2578.10
CRM-LN-000218,CRM-INV-00073,PROD-0032,18,188.67,3396.06
CRM-LN-000219,CRM-INV-00073,PROD-0083,12,213.74,2564.88
CRM-LN-000220,CRM-INV-00073,PROD-0032,27,188.67,5094.09
CRM-LN-000221,CRM-INV-00074,PROD-0100,1,37.08,37.08
CRM-LN-000222,CRM-INV-00074,PROD-0085,5,284.56,1422.80
CRM-LN-000223,CRM-INV-00074,PROD-0027,4,392.53,1570.12
CRM-LN-000224,CRM-INV-00075,PROD-0031,8,312.14,2497.12
CRM-LN-000225,CRM-INV-00076,PROD-0010,1,338.44,338.44
CRM-LN-000226,CRM-INV-00076,PROD-0047,6,450.44,2702.64
CRM-LN-000227,CRM-INV-00076,PROD-0017,7,399.96,2799.72
CRM-LN-000228,CRM-INV-00076,PROD-0073,7,335.84,2350.88
CRM-LN-000229,CRM-INV-00076,PROD-0047,3,450.44,1351.32
CRM-LN-000230,CRM-INV-00077,PROD-0076,2,358.04,716.08
CRM-LN-000231,CRM-INV-00078,PROD-0051,5,274.05,1370.25
CRM-LN-000232,CRM-INV-00079,PROD-0055,7,173.52,1214.64
CRM-LN-000233,CRM-INV-00079,PROD-0011,3,283.89,851.67
CRM-LN-000234,CRM-INV-00079,PROD-0036,2,148.18,296.36
CRM-LN-000235,CRM-INV-00079,PROD-0040,2,216.21,432.42
CRM-LN-000236,CRM-INV-00080,PROD-0069,6,302.17,1813.02
CRM-LN-000237,CRM-INV-00080,PROD-0051,2,274.05,548.10
CRM-LN-000238,CRM-INV-00081,PROD-0008,4,317.23,1268.92
CRM-LN-000239,CRM-INV-00081,PROD-0012,7,343.50,2404.50
CRM-LN-000240,CRM-INV-00082,PROD-0040,3,216.21,648.63
CRM-LN-000241,CRM-INV-00083,PROD-0021,8,86.47,691.76
CRM-LN-000242,CRM-INV-00084,PROD-0022,6,311.47,1868.82
CRM-LN-000243,CRM-INV-00084,PROD-0017,5,399.96,1999.80
CRM-LN-000244,CRM-INV-00084,PROD-0094,2,168.04,336.08
CRM-LN-000245,CRM-INV-00085,PROD-0035,2,386.42,772.84
CRM-LN-000246,CRM-INV-00085,PROD-0034,2,233.28,466.56
CRM-LN-000247,CRM-INV-00085,PROD-0064,8,386.95,3095.60
CRM-LN-000248,CRM-INV-00085,PROD-0066,6,482.89,2897.34
CRM-LN-000249,CRM-INV-00086,PROD-0021,5,86.47,432.35
CRM-LN-000250,CRM-INV-00086,PROD-0099,2,21.86,43.72
CRM-LN-000251,CRM-INV-00086,PROD-0074,2,21.14,42.28
CRM-LN-000252,CRM-INV-00087,PROD-0002,4,368.34,1473.36
CRM-LN-000253,CRM-INV-00088,PROD-0023,1,216.00,216.00
CRM-LN-000254,CRM-INV-00088,PROD-0071,7,405.68,2839.76
CRM-LN-000255,CRM-INV-00089,PROD-0035,2,386.42,772.84
CRM-LN-000256,CRM-INV-00089,PROD-0074,6,21.14,126.84
CRM-LN-000257,CRM-INV-00089,PROD-0016,1,229.45,229.45
CRM-LN-000258,CRM-INV-00090,PROD-0009,8,364.08,2912.64
CRM-LN-000259,CRM-INV-00090,PROD-0037,5,128.73,643.65
CRM-LN-000260,CRM-INV-00090,PROD-0042,2,203.90,407.80
CRM-LN-000261,CRM-INV-00090,PROD-0071,8,405.68,3245.44
CRM-LN-000262,CRM-INV-00091,PROD-0039,4,351.57,1406.28
CRM-LN-000263,CRM-INV-00091,PROD-0060,6,380.80,2284.80
CRM-LN-000264,CRM-INV-00091,PROD-0076,8,358.04,2864.32
CRM-LN-000265,CRM-INV-00091,PROD-0099,4,21.86,87.44
CRM-LN-000266,CRM-INV-00091,PROD-0094,4,168.04,672.16
CRM-LN-000267,CRM-INV-00092,PROD-0070,21,54.76,1149.96
CRM-LN-000268,CRM-INV-00092,PROD-0082,10,24.58,245.80
CRM-LN-000269,CRM-INV-00093,PROD-0095,5,107.90,539.50
CRM-LN-000270,CRM-INV-00093,PROD-0014,4,162.38,649.52
CRM-LN-000271,CRM-INV-00093,PROD-0068,4,207.38,829.52
CRM-LN-000272,CRM-INV-00093,PROD-0054,8,141.18,1129.44
CRM-LN-000273,CRM-INV-00094,PROD-0012,1,343.50,343.50
CRM-LN-000274,CRM-INV-00094,PROD-0030,7,494.13,3458.91
CRM-LN-000275,CRM-INV-00094,PROD-0090,6,163.51,981.06
CRM-LN-000276,CRM-INV-00095,PROD-0013,3,291.02,873.06
CRM-LN-000277,CRM-INV-00095,PROD-0082,7,28.92,202.44
CRM-LN-000278,CRM-INV-00095,PROD-0010,1,338.44,338.44
CRM-LN-000279,CRM-INV-00095,PROD-0056,3,149.95,449.85
CRM-LN-000280,CRM-INV-00095,PROD-0031,5,312.14,1560.70
CRM-LN-000281,CRM-INV-00096,PROD-0090,6,163.51,981.06
CRM-LN-000282,CRM-INV-00096,PROD-0041,8,216.65,1733.20
CRM-LN-000283,CRM-INV-00096,PROD-0035,4,386.42,1545.68
CRM-LN-000284,CRM-INV-00096,PROD-0010,4,338.44,1353.76
CRM-LN-000285,CRM-INV-00097,PROD-0020,2,341.31,682.62
CRM-LN-000286,CRM-INV-00098,PROD-0016,6,229.45,1376.70
CRM-LN-000287,CRM-INV-00098,PROD-0099,4,21.86,87.44
CRM-LN-000288,CRM-INV-00098,PROD-0058,5,378.28,1891.40
CRM-LN-000289,CRM-INV-00098,PROD-0060,5,380.80,1904.00
CRM-LN-000290,CRM-INV-00099,PROD-0091,1,283.43,283.43
CRM-LN-000291,CRM-INV-00099,PROD-0028,6,240.31,1441.86
CRM-LN-000292,CRM-INV-00099,PROD-0019,2,177.57,355.14
CRM-LN-000293,CRM-INV-00100,PROD-0007,5,191.65,958.25
CRM-LN-000294,CRM-INV-00100,PROD-0034,3,233.28,699.84
CRM-LN-000295,CRM-INV-00100,PROD-0004,7,107.19,750.33
CRM-LN-000296,CRM-INV-00100,PROD-0058,4,378.28,1513.12
CRM-LN-000297,CRM-INV-00100,PROD-0013,8,291.02,2328.16
CRM-LN-000298,CRM-INV-00101,PROD-0008,4,317.23,1268.92
CRM-LN-000299,CRM-INV-00102,PROD-0075,5,66.19,330.95
CRM-LN-000300,CRM-INV-00103,PROD-0026,8,447.94,3583.52
CRM-LN-000301,CRM-INV-00104,PROD-0016,1,229.45,229.45
CRM-LN-000302,CRM-INV-00104,PROD-0060,1,380.80,380.80
CRM-LN-000303,CRM-INV-00104,PROD-0022,7,311.47,2180.29
CRM-LN-000304,CRM-INV-00105,PROD-0049,7,339.40,2375.80
CRM-LN-000305,CRM-INV-00106,PROD-0036,5,148.18,740.90
CRM-LN-000306,CRM-INV-00106,PROD-0058,3,378.28,1134.84
CRM-LN-000307,CRM-INV-00107,PROD-0083,5,251.46,1257.30
CRM-LN-000308,CRM-INV-00107,PROD-0064,7,386.95,2708.65
CRM-LN-000309,CRM-INV-00108,PROD-0036,7,148.18,1037.26
CRM-LN-000310,CRM-INV-00109,PROD-0032,1,221.97,221.97
CRM-LN-000311,CRM-INV-00109,PROD-0049,6,339.40,2036.40
CRM-LN-000312,CRM-INV-00109,PROD-0062,8,76.22,609.76
CRM-LN-000313,CRM-INV-00109,PROD-0045,6,380.44,2282.64
CRM-LN-000314,CRM-INV-00109,PROD-0050,5,422.65,2113.25
CRM-LN-000315,CRM-INV-00110,PROD-0004,5,107.19,535.95
CRM-LN-000316,CRM-INV-00110,PROD-0008,8,317.23,2537.84
CRM-LN-000317,CRM-INV-00111,PROD-0021,2,86.47,172.94
CRM-LN-000318,CRM-INV-00111,PROD-0032,4,221.97,887.88
CRM-LN-000319,CRM-INV-00112,PROD-0074,7,21.14,147.98
CRM-LN-000320,CRM-INV-00112,PROD-0046,3,276.04,828.12
CRM-LN-000321,CRM-INV-00113,PROD-0076,1,358.04,358.04
CRM-LN-000322,CRM-INV-00113,PROD-0091,6,283.43,1700.58
CRM-LN-000323,CRM-INV-00113,PROD-0073,3,335.84,1007.52
CRM-LN-000324,CRM-INV-00114,PROD-0070,5,64.42,322.10
CRM-LN-000325,CRM-INV-00114,PROD-0023,8,216.00,1728.00
CRM-LN-000326,CRM-INV-00114,PROD-0005,2,15.82,31.64
CRM-LN-000327,CRM-INV-00114,PROD-0008,4,317.23,1268.92
CRM-LN-000328,CRM-INV-00115,PROD-0001,6,33.55,201.30
CRM-LN-000329,CRM-INV-00115,PROD-0079,4,145.17,580.68
CRM-LN-000330,CRM-INV-00115,PROD-0017,6,399.96,2399.76
CRM-LN-000331,CRM-INV-00115,PROD-0092,3,175.43,526.29
CRM-LN-000332,CRM-INV-00116,PROD-0019,3,177.57,532.71
CRM-LN-000333,CRM-INV-00117,PROD-0010,6,338.44,2030.64
CRM-LN-000334,CRM-INV-00117,PROD-0091,7,283.43,1984.01
CRM-LN-000335,CRM-INV-00117,PROD-0076,2,358.04,716.08
CRM-LN-000336,CRM-INV-00118,PROD-0094,7,168.04,1176.28
CRM-LN-000337,CRM-INV-00118,PROD-0082,8,28.92,231.36
CRM-LN-000338,CRM-INV-00119,PROD-0089,6,60.13,360.78
CRM-LN-000339,CRM-INV-00119,PROD-0029,3,236.38,709.14
CRM-LN-000340,CRM-INV-00119,PROD-0049,5,339.40,1697.00
CRM-LN-000341,CRM-INV-00119,PROD-0094,5,168.04,840.20
CRM-LN-000342,CRM-INV-00119,PROD-0017,3,399.96,1199.88
CRM-LN-000343,CRM-INV-00120,PROD-0051,1,274.05,274.05
CRM-LN-000344,CRM-INV-00120,PROD-0024,6,363.40,2180.40
CRM-LN-000345,CRM-INV-00120,PROD-0079,4,145.17,580.68
CRM-LN-000346,CRM-INV-00120,PROD-0082,2,28.92,57.84
CRM-LN-000347,CRM-INV-00120,PROD-0064,3,386.95,1160.85
CRM-LN-000348,CRM-INV-00121,PROD-0041,3,216.65,649.95
CRM-LN-000349,CRM-INV-00121,PROD-0082,2,28.92,57.84
CRM-LN-000350,CRM-INV-00121,PROD-0091,6,283.43,1700.58
CRM-LN-000351,CRM-INV-00122,PROD-0089,2,60.13,120.26
CRM-LN-000352,CRM-INV-00122,PROD-0045,5,380.44,1902.20
CRM-LN-000353,CRM-INV-00123,PROD-0050,8,422.65,3381.20
CRM-LN-000354,CRM-INV-00124,PROD-0064,7,386.95,2708.65
CRM-LN-000355,CRM-INV-00124,PROD-0045,7,380.44,2663.08
CRM-LN-000356,CRM-INV-00124,PROD-0013,8,291.02,2328.16
CRM-LN-000357,CRM-INV-00124,PROD-0074,4,21.14,84.56
CRM-LN-000358,CRM-INV-00125,PROD-0038,1,54.08,54.08
CRM-LN-000359,CRM-INV-00126,PROD-0022,7,311.47,2180.29
CRM-LN-000360,CRM-INV-00126,PROD-0021,2,86.47,172.94
CRM-LN-000361,CRM-INV-00126,PROD-0071,2,405.68,811.36
CRM-LN-000362,CRM-INV-00127,PROD-0091,1,283.43,283.43
CRM-LN-000363,CRM-INV-00127,PROD-0056,3,149.95,449.85
CRM-LN-000364,CRM-INV-00127,PROD-0078,7,390.70,2734.90
CRM-LN-000365,CRM-INV-00127,PROD-0021,1,86.47,86.47
CRM-LN-000366,CRM-INV-00128,PROD-0090,5,163.51,817.55
CRM-LN-000367,CRM-INV-00128,PROD-0085,5,284.56,1422.80
CRM-LN-000368,CRM-INV-00128,PROD-0039,4,351.57,1406.28
CRM-LN-000369,CRM-INV-00128,PROD-0013,1,291.02,291.02
CRM-LN-000370,CRM-INV-00129,PROD-0020,1,341.31,341.31
CRM-LN-000371,CRM-INV-00129,PROD-0047,1,450.44,450.44
