recon_id,crm_invoice_id,acct_invoice_id,match_status,crm_amount,acct_amount,variance_amount,variance_reason
REC-00078,CRM-INV-00078,ACCT-INV-00078,Matched,1370.25,1370.25,0.00,
REC-00079,CRM-INV-00079,ACCT-INV-00079,Matched,2795.09,2795.09,0.00,
REC-00080,CRM-INV-00080,ACCT-INV-00080,Matched,2361.12,2361.12,0.00,
REC-00081,CRM-INV-00081,ACCT-INV-00081,Matched,3673.42,3673.42,0.00,
REC-00082,CRM-INV-00082,ACCT-INV-00082,Matched,648.63,648.63,0.00,
REC-00083,CRM-INV-00083,ACCT-INV-00083,Matched,691.76,691.76,0.00,
REC-00084,CRM-INV-00084,ACCT-INV-00084,Matched,4204.70,4204.70,0.00,
REC-00085,CRM-INV-00085,ACCT-INV-00085,Matched,7232.34,7232.34,0.00,
REC-00086,CRM-INV-00086,ACCT-INV-00086,Matched,518.35,518.35,0.00,
REC-00087,CRM-INV-00087,ACCT-INV-00087,Matched,1473.36,1473.36,0.00,
REC-00088,CRM-INV-00088,ACCT-INV-00088,Matched,3055.76,3055.76,0.00,
REC-00089,CRM-INV-00089,ACCT-INV-00089,Matched,1129.13,1129.13,0.00,
REC-00090,CRM-INV-00090,ACCT-INV-00090,Matched,7209.53,7209.53,0.00,
REC-00091,CRM-INV-00091,ACCT-INV-00091,Matched,7315.00,7315.00,0.00,
REC-00092,CRM-INV-00092,ACCT-INV-00092,Variance,1395.76,1642.02,246.26,Pricing difference - promotional discount not applied in accounting
REC-00093,CRM-INV-00093,ACCT-INV-00093,Matched,3147.98,3147.98,0.00,
REC-00094,CRM-INV-00094,ACCT-INV-00094,Matched,4783.47,4783.47,0.00,
REC-00095,CRM-INV-00095,ACCT-INV-00095,Matched,3424.49,3424.49,0.00,
REC-00096,CRM-INV-00096,ACCT-INV-00096,Matched,5613.70,5613.70,0.00,
REC-00097,CRM-INV-00097,ACCT-INV-00097,Matched,682.62,682.62,0.00,
REC-00098,CRM-INV-00098,ACCT-INV-00098,Matched,5259.54,5259.54,0.00,
REC-00099,CRM-INV-00099,ACCT-INV-00099,Matched,2080.43,2080.43,0.00,
REC-00100,CRM-INV-00100,ACCT-INV-00100,Matched,6249.70,6249.70,0.00,
REC-00101,CRM-INV-00101,ACCT-INV-00101,Matched,1268.92,1268.92,0.00,
REC-00102,CRM-INV-00102,ACCT-INV-00102,Matched,330.95,330.95,0.00,
REC-00103,CRM-INV-00103,ACCT-INV-00103,Matched,3583.52,3583.52,0.00,
REC-00104,CRM-INV-00104,ACCT-INV-00104,Matched,2790.54,2790.54,0.00,
REC-00105,CRM-INV-00105,ACCT-INV-00105,Matched,2375.80,2375.80,0.00,
REC-00106,CRM-INV-00106,ACCT-INV-00106,Matched,1875.74,1875.74,0.00,
REC-00107,CRM-INV-00107,ACCT-INV-00107,Matched,3965.95,3965.95,0.00,
REC-00108,CRM-INV-00108,ACCT-INV-00108,Matched,1037.26,1037.26,0.00,
REC-00109,CRM-INV-00109,ACCT-INV-00109,Matched,7264.02,7264.02,0.00,
REC-00110,CRM-INV-00110,ACCT-INV-00110,Matched,3073.79,3073.79,0.00,
REC-00111,CRM-INV-00111,ACCT-INV-00111,Matched,1060.82,1060.82,0.00,
REC-00112,CRM-INV-00112,ACCT-INV-00112,Matched,976.10,976.10,0.00,
REC-00113,CRM-INV-00113,ACCT-INV-00113,Matched,3066.14,3066.14,0.00,
REC-00114,CRM-INV-00114,ACCT-INV-00114,Matched,3350.66,3350.66,0.00,
REC-00115,CRM-INV-00115,ACCT-INV-00115,Matched,3708.03,3708.03,0.00,
REC-00116,CRM-INV-00116,ACCT-INV-00116,Matched,532.71,532.71,0.00,
REC-00117,CRM-INV-00117,ACCT-INV-00117,Matched,4730.73,4730.73,0.00,
REC-00118,CRM-INV-00118,ACCT-INV-00118,Matched,1407.64,1407.64,0.00,
REC-00119,CRM-INV-00119,ACCT-INV-00119,Matched,4807.00,4807.00,0.00,
REC-00120,CRM-INV-00120,ACCT-INV-00120,Matched,4253.82,4253.82,0.00,
REC-00121,CRM-INV-00121,ACCT-INV-00121,Matched,2408.37,2408.37,0.00,
REC-00122,CRM-INV-00122,ACCT-INV-00122,Matched,2022.46,2022.46,0.00,
REC-00123,CRM-INV-00123,ACCT-INV-00123,Matched,3381.20,3381.20,0.00,
REC-00124,CRM-INV-00124,ACCT-INV-00124,Matched,7784.45,7784.45,0.00,
REC-00125,CRM-INV-00125,ACCT-INV-00125,Matched,54.08,54.08,0.00,
REC-00126,CRM-INV-00126,ACCT-INV-00126,Matched,3164.59,3164.59,0.00,
REC-00127,CRM-INV-00127,ACCT-INV-00127,Matched,3554.65,3554.65,0.00,
REC-00128,CRM-INV-00128,ACCT-INV-00128,Matched,3937.65,3937.65,0.00,
REC-00129,CRM-INV-00129,ACCT-INV-00129,Matched,1571.43,1571.43,0.00,
REC-00130,CRM-INV-00130,ACCT-INV-00130,Matched,2415.72,2415.72,0.00,
REC-00131,CRM-INV-00131,ACCT-INV-00131,Matched,9383.94,9383.94,0.00,
REC-00132,CRM-INV-00132,ACCT-INV-00132,Matched,4158.99,4158.99,0.00,
REC-00133,CRM-INV-00133,ACCT-INV-00133,Matched,1703.34,1703.34,0.00,
REC-00134,CRM-INV-00134,ACCT-INV-00134,Matched,8064.75,8064.75,0.00,
REC-00135,CRM-INV-00135,ACCT-INV-00135,Matched,3908.22,3908.22,0.00,
REC-00136,CRM-INV-00136,ACCT-INV-00136,Matched,3290.39,3290.39,0.00,
REC-00137,CRM-INV-00137,ACCT-INV-00137,Matched,2404.50,2404.50,0.00,
REC-00138,CRM-INV-00138,ACCT-INV-00138,Matched,2291.17,2291.17,0.00,
REC-00139,CRM-INV-00139,ACCT-INV-00139,Matched,5199.75,5199.75,0.00,
REC-00140,CRM-INV-00140,ACCT-INV-00140,Matched,2280.25,2280.25,0.00,
REC-00141,CRM-INV-00141,ACCT-INV-00141,Matched,3851.72,3851.72,0.00,
REC-00142,CRM-INV-00142,ACCT-INV-00142,Matched,5244.27,5244.27,0.00,
REC-00143,CRM-INV-00143,ACCT-INV-00143,Matched,4393.41,4393.41,0.00,
REC-00144,CRM-INV-00144,ACCT-INV-00144,Matched,1448.67,1448.67,0.00,
REC-00145,CRM-INV-00145,ACCT-INV-00145,Matched,1868.45,1868.45,0.00,
REC-00146,CRM-INV-00146,ACCT-INV-00146,Matched,3554.68,3554.68,0.00,
REC-00147,CRM-INV-00147,ACCT-INV-00147,Matched,1872.84,1872.84,0.00,
REC-00148,CRM-INV-00148,ACCT-INV-00148,Matched,3884.85,3884.85,0.00,
REC-00149,CRM-INV-00149,ACCT-INV-00149,Matched,5418.71,5418.71,0.00,
REC-00150,CRM-INV-00150,ACCT-INV-00150,Matched,1266.09,1266.09,0.00,
REC-00151,CRM-INV-00151,ACCT-INV-00151,Matched,1181.90,1181.90,0.00,
REC-00152,CRM-INV-00152,ACCT-INV-00152,Matched,6058.76,6058.76,0.00,
REC-00153,CRM-INV-00153,ACCT-INV-00153,Matched,3577.88,3577.88,0.00,
REC-00154,CRM-INV-00154,ACCT-INV-00154,Matched,2041.19,2041.19,0.00,
REC-00155,CRM-INV-00155,ACCT-INV-00155,Matched,3382.75,3382.75,0.00,
REC-00156,CRM-INV-00156,ACCT-INV-00156,Matched,1440.48,1440.48,0.00,
REC-00157,CRM-INV-00157,ACCT-INV-00157,Matched,3379.13,3379.13,0.00,
REC-00158,CRM-INV-00158,ACCT-INV-00158,Matched,3793.74,3793.74,0.00,
REC-00159,CRM-INV-00159,ACCT-INV-00159,Matched,5405.90,5405.90,0.00,
REC-00160,CRM-INV-00160,ACCT-INV-00160,Matched,1514.58,1514.58,0.00,
REC-00161,CRM-INV-00161,ACCT-INV-00161,Matched,6389.71,6389.71,0.00,
REC-00162,CRM-INV-00162,ACCT-INV-00162,Matched,4411.10,4411.10,0.00,
REC-00163,CRM-INV-00163,ACCT-INV-00163,Matched,2847.96,2847.96,0.00,
REC-00164,CRM-INV-00164,ACCT-INV-00164,Matched,268.40,268.40,0.00,
REC-00165,CRM-INV-00165,ACCT-INV-00165,Matched,1012.74,1012.74,0.00,
REC-00166,CRM-INV-00166,ACCT-INV-00166,Matched,3796.88,3796.88,0.00,
REC-00167,CRM-INV-00167,ACCT-INV-00167,Matched,2875.63,2875.63,0.00,
REC-00168,CRM-INV-00168,ACCT-INV-00168,Matched,3548.71,3548.71,0.00,
REC-00169,CRM-INV-00169,ACCT-INV-00169,Matched,3163.07,3163.07,0.00,
REC-00170,CRM-INV-00170,ACCT-INV-00170,Matched,3992.97,3992.97,0.00,
REC-00171,CRM-INV-00171,ACCT-INV-00171,Matched,1697.00,1697.00,0.00,
REC-00172,CRM-INV-00172,ACCT-INV-00172,Matched,2754.90,2754.90,0.00,
REC-00173,CRM-INV-00173,ACCT-INV-00173,Matched,2853.52,2853.52,0.00,
REC-00174,CRM-INV-00174,ACCT-INV-00174,Matched,1698.98,1698.98,0.00,
REC-00175,CRM-INV-00175,ACCT-INV-00175,Matched,1748.20,1748.20,0.00,
REC-00176,CRM-INV-00176,ACCT-INV-00176,Matched,7809.60,7809.60,0.00,
REC-00177,CRM-INV-00177,ACCT-INV-00177,Matched,169.12,169.12,0.00,
REC-00178,CRM-INV-00178,ACCT-INV-00178,Matched,5345.77,5345.77,0.00,
REC-00179,CRM-INV-00179,ACCT-INV-00179,Matched,3340.70,3340.70,0.00,
REC-00180,CRM-INV-00180,ACCT-INV-00180,Matched,3269.87,3269.87,0.00,
REC-00181,CRM-INV-00181,ACCT-INV-00181,Matched,3366.66,3366.66,0.00,
REC-00182,CRM-INV-00182,ACCT-INV-00182,Matched,1687.68,1687.68,0.00,
REC-00183,CRM-INV-00183,ACCT-INV-00183,Matched,6170.31,6170.31,0.00,
REC-00184,CRM-INV-00184,ACCT-INV-00184,Matched,4511.47,4511.47,0.00,
REC-00185,CRM-INV-00185,ACCT-INV-00185,Matched,1988.14,1988.14,0.00,
REC-00186,CRM-INV-00186,ACCT-INV-00186,Matched,1499.60,1499.60,0.00,
REC-00187,CRM-INV-00187,ACCT-INV-00187,Matched,6026.66,6026.66,0.00,
REC-00188,CRM-INV-00188,ACCT-INV-00188,Matched,7272.84,7272.84,0.00,
REC-00189,CRM-INV-00189,ACCT-INV-00189,Matched,1136.66,1136.66,0.00,
REC-00190,CRM-INV-00190,ACCT-INV-00190,Variance,8467.42,9961.50,1494.08,Pricing difference - promotional discount not applied in accounting
REC-00191,CRM-INV-00191,ACCT-INV-00191,Matched,6005.94,6005.94,0.00,
REC-00192,CRM-INV-00192,ACCT-INV-00192,Matched,3709.20,3709.20,0.00,
REC-00193,CRM-INV-00193,ACCT-INV-00193,Matched,3805.49,3805.49,0.00,
REC-00194,CRM-INV-00194,ACCT-INV-00194,Matched,2755.44,2755.44,0.00,
REC-00195,CRM-INV-00195,ACCT-INV-00195,Matched,2007.80,2007.80,0.00,
REC-00196,CRM-INV-00196,ACCT-INV-00196,Matched,7527.82,7527.82,0.00,
REC-00197,CRM-INV-00197,ACCT-INV-00197,Matched,2844.02,2844.02,0.00,
REC-00198,CRM-INV-00198,ACCT-INV-00198,Matched,5986.10,5986.10,0.00,
REC-00199,CRM-INV-00199,ACCT-INV-00199,Matched,3474.54,3474.54,0.00,
REC-00200,CRM-INV-00200,ACCT-INV-00200,Matched,4597.53,4597.53,0.00,
REC-00201,CRM-INV-00201,ACCT-INV-00201,Matched,3809.71,3809.71,0.00,
REC-00202,CRM-INV-00202,ACCT-INV-00202,Matched,1802.91,1802.91,0.00,
REC-00203,CRM-INV-00203,ACCT-INV-00203,Matched,3250.37,3250.37,0.00,
REC-00204,CRM-INV-00204,ACCT-INV-00204,Matched,2474.58,2474.58,0.00,
REC-00205,CRM-INV-00205,ACCT-INV-00205,Matched,5830.90,5830.90,0.00,
REC-00206,CRM-INV-00206,ACCT-INV-00206,Matched,1798.72,1798.72,0.00,
REC-00207,CRM-INV-00207,ACCT-INV-00207,Matched,771.40,771.40,0.00,
REC-00208,CRM-INV-00208,ACCT-INV-00208,Matched,633.65,633.65,0.00,
REC-00209,CRM-INV-00209,ACCT-INV-00209,Matched,389.30,389.30,0.00,
REC-00210,CRM-INV-00210,ACCT-INV-00210,Matched,3586.96,3586.96,0.00,
REC-00211,CRM-INV-00211,ACCT-INV-00211,Credit Note Issue,3186.65,9412.19,6225.54,Credit note not posted to accounting
REC-00212,CRM-INV-00212,ACCT-INV-00212,Matched,6885.15,6885.15,0.00,
REC-00213,CRM-INV-00213,ACCT-INV-00213,Matched,4828.36,4828.36,0.00,
REC-00214,CRM-INV-00214,ACCT-INV-00214,Matched,1280.86,1280.86,0.00,
REC-00215,CRM-INV-00215,ACCT-INV-00215,Matched,6699.75,6699.75,0.00,
REC-00216,CRM-INV-00216,ACCT-INV-00216,Matched,1910.10,1910.10,0.00,
REC-00217,CRM-INV-00217,ACCT-INV-00217,Matched,984.86,984.86,0.00,
REC-00218,CRM-INV-00218,ACCT-INV-00218,Matched,6954.33,6954.33,0.00,
REC-00219,CRM-INV-00219,ACCT-INV-00219,Matched,2294.98,2294.98,0.00,
REC-00220,CRM-INV-00220,ACCT-INV-00220,Matched,5101.11,5101.11,0.00,
REC-00221,CRM-INV-00221,ACCT-INV-00221,Matched,3214.44,3214.44,0.00,
REC-00222,CRM-INV-00222,ACCT-INV-00222,Matched,6048.01,6048.01,0.00,
REC-00223,CRM-INV-00223,,Unmatched-CRM Only,13641.14,0.00,13641.14,Manual invoice not synced to accounting
REC-00224,CRM-INV-00224,ACCT-INV-00224,Matched,4596.86,4596.86,0.00,
REC-00225,CRM-INV-00225,,Unmatched-CRM Only,5126.24,0.00,5126.24,Manual invoice not synced to accounting
REC-00226,CRM-INV-00226,ACCT-INV-00226,Matched,5864.58,5864.58,0.00,
REC-00227,CRM-INV-00227,ACCT-INV-00227,Matched,2117.09,2117.09,0.00,
REC-00228,CRM-INV-00228,ACCT-INV-00228,Matched,5807.92,5807.92,0.00,
REC-00229,CRM-INV-00229,ACCT-INV-00229,Variance,27948.14,32880.30,4932.16,Pricing difference - promotional discount not applied in accounting
REC-00230,CRM-INV-00230,ACCT-INV-00230,Matched,6477.33,6477.33,0.00,
REC-00231,CRM-INV-00231,ACCT-INV-00231,Matched,5285.44,5285.44,0.00,
REC-00232,CRM-INV-00232,ACCT-INV-00232,Variance,26833.34,31568.87,4735.53,Pricing difference - promotional discount not applied in accounting
REC-00233,CRM-INV-00233,ACCT-INV-00233,Matched,4555.02,4555.02,0.00,
REC-00234,CRM-INV-00234,ACCT-INV-00234,Matched,8769.71,8769.71,0.00,
REC-00235,CRM-INV-00235,ACCT-INV-00235,Matched,7969.35,7969.35,0.00,
REC-00236,CRM-INV-00236,ACCT-INV-00236,Matched,5635.21,5635.21,0.00,
REC-00237,CRM-INV-00237,ACCT-INV-00237,Matched,5107.55,5107.55,0.00,
REC-00238,CRM-INV-00238,ACCT-INV-00238,Matched,609.76,609.76,0.00,
REC-00239,CRM-INV-00239,ACCT-INV-00239,Matched,3411.75,3411.75,0.00,
REC-00240,CRM-INV-00240,ACCT-INV-00240,Matched,3958.41,3958.41,0.00,
REC-00241,CRM-INV-00241,ACCT-INV-00241,Matched,818.55,818.55,0.00,
REC-00242,CRM-INV-00242,ACCT-INV-00242,Matched,5814.52,5814.52,0.00,
REC-00243,CRM-INV-00243,ACCT-INV-00243,Matched,5855.74,5855.74,0.00,
REC-00244,CRM-INV-00244,ACCT-INV-00244,Matched,3160.13,3160.13,0.00,
REC-00245,CRM-INV-00245,ACCT-INV-00245,Matched,4953.50,4953.50,0.00,
REC-00246,CRM-INV-00246,ACCT-INV-00246,Matched,4970.08,4970.08,0.00,
REC-00247,CRM-INV-00247,ACCT-INV-00247,Matched,2792.88,2792.88,0.00,
REC-00248,CRM-INV-00248,ACCT-INV-00248,Matched,1839.60,1839.60,0.00,
REC-00249,CRM-INV-00249,ACCT-INV-00249,Matched,7710.26,7710.26,0.00,
REC-00250,CRM-INV-00250,ACCT-INV-00250,Matched,710.10,710.10,0.00,
REC-00251,CRM-INV-00251,ACCT-INV-00251,Matched,2298.92,2298.92,0.00,
REC-00252,CRM-INV-00252,ACCT-INV-00252,Variance,17710.98,20836.28,3125.30,Pricing difference - promotional discount not applied in accounting
REC-00253,CRM-INV-00253,ACCT-INV-00253,Matched,843.46,843.46,0.00,
REC-00254,CRM-INV-00254,ACCT-INV-00254,Matched,2848.38,2848.38,0.00,
REC-00255,CRM-INV-00255,ACCT-INV-00255,Matched,3355.63,3355.63,0.00,
REC-00256,CRM-INV-00256,ACCT-INV-00256,Matched,3768.51,3768.51,0.00,
REC-00257,CRM-INV-00257,ACCT-INV-00257,Matched,4132.25,4132.25,0.00,
REC-00258,CRM-INV-00258,ACCT-INV-00258,Matched,789.16,789.16,0.00,
REC-00259,CRM-INV-00259,ACCT-INV-00259,Matched,2414.45,2414.45,0.00,
REC-00260,CRM-INV-00260,ACCT-INV-00260,Matched,4925.92,4925.92,0.00,
REC-00261,CRM-INV-00261,ACCT-INV-00261,Matched,152.44,152.44,0.00,
REC-00262,CRM-INV-00262,ACCT-INV-00262,Matched,2653.59,2653.59,0.00,
REC-00263,CRM-INV-00263,ACCT-INV-00263,Matched,817.55,817.55,0.00,
REC-00264,CRM-INV-00264,ACCT-INV-00264,Matched,4651.66,4651.66,0.00,
REC-00265,CRM-INV-00265,ACCT-INV-00265,Matched,2796.36,2796.36,0.00,
REC-00266,CRM-INV-00266,ACCT-INV-00266,Matched,2014.44,2014.44,0.00,
REC-00267,CRM-INV-00267,ACCT-INV-00267,Matched,1662.85,1662.85,0.00,
REC-00268,CRM-INV-00268,ACCT-INV-00268,Matched,3313.58,3313.58,0.00,
REC-00269,CRM-INV-00269,ACCT-INV-00269,Matched,5416.69,5416.69,0.00,
REC-00270,CRM-INV-00270,ACCT-INV-00270,Matched,1473.36,1473.36,0.00,
REC-00271,CRM-INV-00271,ACCT-INV-00271,Matched,4103.55,4103.55,0.00,
REC-00272,CRM-INV-00272,ACCT-INV-00272,Matched,4448.36,4448.36,0.00,
REC-00273,CRM-INV-00273,ACCT-INV-00273,Matched,4814.84,4814.84,0.00,
REC-00274,CRM-INV-00274,ACCT-INV-00274,Matched,1934.03,1934.03,0.00,
REC-00275,CRM-INV-00275,ACCT-INV-00275,Matched,4534.20,4534.20,0.00,
REC-00276,CRM-INV-00276,ACCT-INV-00276,Matched,2269.68,2269.68,0.00,
REC-00277,CRM-INV-00277,ACCT-INV-00277,Matched,8724.51,8724.51,0.00,
REC-00278,CRM-INV-00278,ACCT-INV-00278,Matched,4557.95,4557.95,0.00,
REC-00279,CRM-INV-00279,ACCT-INV-00279,Matched,2857.08,2857.08,0.00,
REC-00280,CRM-INV-00280,ACCT-INV-00280,Matched,2285.26,2285.26,0.00,
REC-00281,CRM-INV-00281,ACCT-INV-00281,Matched,4259.43,4259.43,0.00,
REC-00282,CRM-INV-00282,ACCT-INV-00282,Matched,2155.64,2155.64,0.00,
REC-00283,CRM-INV-00283,ACCT-INV-00283,Matched,2912.64,2912.64,0.00,
REC-00284,CRM-INV-00284,ACCT-INV-00284,Matched,3664.73,3664.73,0.00,
REC-00285,CRM-INV-00285,ACCT-INV-00285,Matched,1719.12,1719.12,0.00,
REC-00286,CRM-INV-00286,ACCT-INV-00286,Credit Note Issue,1803.48,9017.38,7213.90,Credit note not posted to accounting
REC-00287,CRM-INV-00287,ACCT-INV-00287,Matched,2912.18,2912.18,0.00,
REC-00288,CRM-INV-00288,ACCT-INV-00288,Matched,100.65,100.65,0.00,
REC-00289,CRM-INV-00289,ACCT-INV-00289,Matched,481.04,481.04,0.00,
REC-00290,CRM-INV-00290,ACCT-INV-00290,Matched,153.02,153.02,0.00,
REC-00291,CRM-INV-00291,ACCT-INV-00291,Matched,2434.08,2434.08,0.00,
REC-00292,CRM-INV-00292,ACCT-INV-00292,Matched,3718.08,3718.08,0.00,
REC-00293,CRM-INV-00293,ACCT-INV-00293,Matched,4032.48,4032.48,0.00,
REC-00294,CRM-INV-00294,ACCT-INV-00294,Matched,5560.04,5560.04,0.00,
REC-00295,CRM-INV-00295,ACCT-INV-00295,Matched,4355.98,4355.98,0.00,
REC-00296,CRM-INV-00296,ACCT-INV-00296,Matched,3408.40,3408.40,0.00,
REC-00297,CRM-INV-00297,ACCT-INV-00297,Matched,1845.71,1845.71,0.00,
REC-00298,CRM-INV-00298,ACCT-INV-00298,Matched,3887.73,3887.73,0.00,
