acct_invoice_id,customer_id,crm_invoice_id,invoice_date,total_amount,status
ACCT-INV-00043,CUST-0085,CRM-INV-00043,2026-01-18,5207.24,Posted
ACCT-INV-00044,CUST-0051,CRM-INV-00044,2026-01-15,3962.65,Posted
ACCT-INV-00045,CUST-0138,CRM-INV-00045,2026-01-06,2929.34,Posted
ACCT-INV-00046,CUST-0164,CRM-INV-00046,2026-01-11,7749.82,Posted
ACCT-INV-00047,CUST-0152,CRM-INV-00047,2026-01-03,1994.00,Posted
ACCT-INV-00048,CUST-0096,CRM-INV-00048,2026-01-23,3803.77,Posted
ACCT-INV-00049,CUST-0109,CRM-INV-00049,2026-01-06,4647.42,Posted
ACCT-INV-00050,CUST-0116,CRM-INV-00050,2026-01-20,276.04,Posted
ACCT-INV-00051,CUST-0050,CRM-INV-00051,2026-01-27,6356.54,Posted
ACCT-INV-00052,CUST-0008,CRM-INV-00052,2026-01-26,646.80,Posted
ACCT-INV-00053,CUST-0044,CRM-INV-00053,2026-01-25,5858.88,Posted
ACCT-INV-00054,CUST-0194,CRM-INV-00054,2026-01-02,1387.89,Posted
ACCT-INV-00055,CUST-0090,CRM-INV-00055,2026-01-28,274.70,Posted
ACCT-INV-00056,CUST-0061,CRM-INV-00056,2026-01-07,6752.70,Posted
ACCT-INV-00057,CUST-0153,CRM-INV-00057,2026-01-18,1289.90,Posted
ACCT-INV-00058,CUST-0132,CRM-INV-00058,2026-01-29,2341.78,Posted
ACCT-INV-00059,CUST-0071,CRM-INV-00059,2026-01-28,1156.44,Posted
ACCT-INV-00060,CUST-0064,CRM-INV-00060,2026-01-25,6284.54,Posted
ACCT-INV-00061,CUST-0197,CRM-INV-00061,2026-01-03,3969.13,Posted
ACCT-INV-00062,CUST-0188,CRM-INV-00062,2026-01-03,6326.73,Posted
ACCT-INV-00063,CUST-0073,CRM-INV-00063,2026-01-11,6023.78,Posted
ACCT-INV-00064,CUST-0041,CRM-INV-00064,2026-01-15,2911.32,Posted
ACCT-INV-00065,CUST-0093,CRM-INV-00065,2026-01-09,679.14,Posted
ACCT-INV-00066,CUST-0161,CRM-INV-00066,2026-01-10,913.90,Posted
ACCT-INV-00067,CUST-0123,CRM-INV-00067,2026-01-03,5156.24,Posted
ACCT-INV-00068,CUST-0179,CRM-INV-00068,2026-01-11,520.56,Posted
ACCT-INV-00069,CUST-0059,CRM-INV-00069,2026-01-13,336.08,Posted
ACCT-INV-00070,CUST-0095,CRM-INV-00070,2026-01-29,3207.40,Posted
ACCT-INV-00071,CUST-0145,CRM-INV-00071,2026-01-01,3539.74,Posted
ACCT-INV-00072,CUST-0023,CRM-INV-00072,2026-01-29,669.08,Posted
ACCT-INV-00073,CUST-0099,CRM-INV-00073,2026-01-12,16039.27,Posted
ACCT-INV-00074,CUST-0185,CRM-INV-00074,2026-01-20,3030.00,Posted
ACCT-INV-00075,CUST-0076,CRM-INV-00075,2026-01-21,2497.12,Posted
ACCT-INV-00076,CUST-0062,CRM-INV-00076,2026-01-16,9543.00,Posted
ACCT-INV-00077,CUST-0198,CRM-INV-00077,2026-01-03,716.08,Posted
ACCT-INV-00078,CUST-0056,CRM-INV-00078,2026-01-02,1370.25,Posted
ACCT-INV-00079,CUST-0129,CRM-INV-00079,2026-01-25,2795.09,Posted
ACCT-INV-00080,CUST-0053,CRM-INV-00080,2026-01-26,2361.12,Posted
ACCT-INV-00081,CUST-0112,CRM-INV-00081,2026-01-24,3673.42,Posted
ACCT-INV-00082,CUST-0157,CRM-INV-00082,2026-01-20,648.63,Posted
ACCT-INV-00083,CUST-0182,CRM-INV-00083,2026-01-05,691.76,Posted
ACCT-INV-00084,CUST-0134,CRM-INV-00084,2026-01-17,4204.70,Posted
ACCT-INV-00085,CUST-0008,CRM-INV-00085,2026-01-11,7232.34,Posted
ACCT-INV-00086,CUST-0146,CRM-INV-00086,2026-01-06,518.35,Posted
ACCT-INV-00087,CUST-0131,CRM-INV-00087,2026-01-01,1473.36,Posted
ACCT-INV-00088,CUST-0094,CRM-INV-00088,2026-01-13,3055.76,Posted
ACCT-INV-00089,CUST-0064,CRM-INV-00089,2026-01-14,1129.13,Posted
ACCT-INV-00090,CUST-0133,CRM-INV-00090,2026-01-02,7209.53,Posted
ACCT-INV-00091,CUST-0052,CRM-INV-00091,2026-01-10,7315.00,Posted
ACCT-INV-00092,CUST-0105,CRM-INV-00092,2026-01-01,1642.02,Posted
ACCT-INV-00093,CUST-0001,CRM-INV-00093,2026-01-25,3147.98,Posted
ACCT-INV-00094,CUST-0037,CRM-INV-00094,2026-01-23,4783.47,Posted
ACCT-INV-00095,CUST-0192,CRM-INV-00095,2026-01-03,3424.49,Posted
ACCT-INV-00096,CUST-0081,CRM-INV-00096,2026-01-30,5613.70,Posted
ACCT-INV-00097,CUST-0198,CRM-INV-00097,2026-01-19,682.62,Posted
ACCT-INV-00098,CUST-0120,CRM-INV-00098,2026-01-11,5259.54,Posted
ACCT-INV-00099,CUST-0024,CRM-INV-00099,2026-01-06,2080.43,Posted
ACCT-INV-00100,CUST-0092,CRM-INV-00100,2026-01-13,6249.70,Posted
ACCT-INV-00101,CUST-0036,CRM-INV-00101,2026-01-04,1268.92,Posted
ACCT-INV-00102,CUST-0103,CRM-INV-00102,2026-01-12,330.95,Posted
ACCT-INV-00103,CUST-0020,CRM-INV-00103,2026-01-01,3583.52,Posted
ACCT-INV-00104,CUST-0024,CRM-INV-00104,2026-01-29,2790.54,Posted
ACCT-INV-00105,CUST-0102,CRM-INV-00105,2026-01-16,2375.80,Posted
ACCT-INV-00106,CUST-0055,CRM-INV-00106,2026-01-30,1875.74,Posted
ACCT-INV-00107,CUST-0159,CRM-INV-00107,2026-01-20,3965.95,Posted
ACCT-INV-00108,CUST-0123,CRM-INV-00108,2026-01-02,1037.26,Posted
ACCT-INV-00109,CUST-0052,CRM-INV-00109,2026-01-21,7264.02,Posted
ACCT-INV-00110,CUST-0082,CRM-INV-00110,2026-01-20,3073.79,Posted
ACCT-INV-00111,CUST-0197,CRM-INV-00111,2026-01-19,1060.82,Posted
ACCT-INV-00112,CUST-0189,CRM-INV-00112,2026-01-02,976.10,Posted
ACCT-INV-00113,CUST-0152,CRM-INV-00113,2026-01-11,3066.14,Posted
ACCT-INV-00114,CUST-0049,CRM-INV-00114,2026-01-27,3350.66,Posted
ACCT-INV-00115,CUST-0006,CRM-INV-00115,2026-01-17,3708.03,Posted
ACCT-INV-00116,CUST-0083,CRM-INV-00116,2026-01-02,532.71,Posted
ACCT-INV-00117,CUST-0135,CRM-INV-00117,2026-01-28,4730.73,Posted
ACCT-INV-00118,CUST-0083,CRM-INV-00118,2026-01-05,1407.64,Posted
ACCT-INV-00119,CUST-0045,CRM-INV-00119,2026-01-23,4807.00,Posted
ACCT-INV-00120,CUST-0180,CRM-INV-00120,2026-01-31,4253.82,Posted
ACCT-INV-00121,CUST-0020,CRM-INV-00121,2026-01-08,2408.37,Posted
ACCT-INV-00122,CUST-0068,CRM-INV-00122,2026-01-07,2022.46,Posted
ACCT-INV-00123,CUST-0185,CRM-INV-00123,2026-01-01,3381.20,Posted
ACCT-INV-00124,CUST-0043,CRM-INV-00124,2026-01-29,7784.45,Posted
ACCT-INV-00125,CUST-0019,CRM-INV-00125,2026-01-26,54.08,Posted
ACCT-INV-00126,CUST-0027,CRM-INV-00126,2026-01-03,3164.59,Posted
ACCT-INV-00127,CUST-0158,CRM-INV-00127,2026-01-29,3554.65,Posted
ACCT-INV-00128,CUST-0053,CRM-INV-00128,2026-01-07,3937.65,Posted
ACCT-INV-00129,CUST-0141,CRM-INV-00129,2026-01-27,1571.43,Posted
ACCT-INV-00130,CUST-0007,CRM-INV-00130,2026-01-07,2415.72,Posted
ACCT-INV-00131,CUST-0079,CRM-INV-00131,2026-01-26,9383.94,Posted
ACCT-INV-00132,CUST-0095,CRM-INV-00132,2026-01-06,4158.99,Posted
ACCT-INV-00133,CUST-0179,CRM-INV-00133,2026-01-22,1703.34,Posted
ACCT-INV-00134,CUST-0106,CRM-INV-00134,2026-01-25,8064.75,Posted
ACCT-INV-00135,CUST-0183,CRM-INV-00135,2026-01-02,3908.22,Posted
ACCT-INV-00136,CUST-0175,CRM-INV-00136,2026-01-14,3290.39,Posted
ACCT-INV-00137,CUST-0187,CRM-INV-00137,2026-01-30,2404.50,Posted
ACCT-INV-00138,CUST-0142,CRM-INV-00138,2026-01-11,2291.17,Posted
ACCT-INV-00139,CUST-0146,CRM-INV-00139,2026-01-19,5199.75,Posted
ACCT-INV-00140,CUST-0122,CRM-INV-00140,2026-01-02,2280.25,Posted
ACCT-INV-00141,CUST-0085,CRM-INV-00141,2026-01-23,3851.72,Posted
ACCT-INV-00142,CUST-0078,CRM-INV-00142,2026-01-10,5244.27,Posted
ACCT-INV-00143,CUST-0083,CRM-INV-00143,2026-01-09,4393.41,Posted
ACCT-INV-00144,CUST-0096,CRM-INV-00144,2026-01-27,1448.67,Posted
ACCT-INV-00145,CUST-0182,CRM-INV-00145,2026-01-17,1868.45,Posted
ACCT-INV-00146,CUST-0093,CRM-INV-00146,2026-01-23,3554.68,Posted
ACCT-INV-00147,CUST-0032,CRM-INV-00147,2026-01-22,1872.84,Posted
ACCT-INV-00148,CUST-0115,CRM-INV-00148,2026-01-06,3884.85,Posted
ACCT-INV-00149,CUST-0042,CRM-INV-00149,2026-01-28,5418.71,Posted
ACCT-INV-00150,CUST-0197,CRM-INV-00150,2026-01-22,1266.09,Posted
ACCT-INV-00151,CUST-0154,CRM-INV-00151,2026-01-26,1181.90,Posted
ACCT-INV-00152,CUST-0079,CRM-INV-00152,2026-01-23,6058.76,Posted
ACCT-INV-00153,CUST-0174,CRM-INV-00153,2026-01-17,3577.88,Posted
ACCT-INV-00154,CUST-0071,CRM-INV-00154,2026-01-21,2041.19,Posted
ACCT-INV-00155,CUST-0062,CRM-INV-00155,2026-01-29,3382.75,Posted
ACCT-INV-00156,CUST-0175,CRM-INV-00156,2026-01-05,1440.48,Posted
ACCT-INV-00157,CUST-0067,CRM-INV-00157,2026-01-30,3379.13,Posted
ACCT-INV-00158,CUST-0164,CRM-INV-00158,2026-01-26,3793.74,Posted
ACCT-INV-00159,CUST-0190,CRM-INV-00159,2026-01-09,5405.90,Posted
ACCT-INV-00160,CUST-0085,CRM-INV-00160,2026-01-12,1514.58,Posted
ACCT-INV-00161,CUST-0150,CRM-INV-00161,2026-01-19,6389.71,Posted
ACCT-INV-00162,CUST-0039,CRM-INV-00162,2026-01-05,4411.10,Posted
ACCT-INV-00163,CUST-0184,CRM-INV-00163,2026-01-06,2847.96,Posted
ACCT-INV-00164,CUST-0046,CRM-INV-00164,2026-01-11,268.40,Posted
ACCT-INV-00165,CUST-0195,CRM-INV-00165,2026-01-25,1012.74,Posted
ACCT-INV-00166,CUST-0112,CRM-INV-00166,2026-01-21,3796.88,Posted
ACCT-INV-00167,CUST-0004,CRM-INV-00167,2026-01-29,2875.63,Posted
ACCT-INV-00168,CUST-0089,CRM-INV-00168,2026-01-10,3548.71,Posted
ACCT-INV-00169,CUST-0012,CRM-INV-00169,2026-01-10,3163.07,Posted
ACCT-INV-00170,CUST-0049,CRM-INV-00170,2026-01-06,3992.97,Posted
ACCT-INV-00171,CUST-0183,CRM-INV-00171,2026-01-21,1697.00,Posted
ACCT-INV-00172,CUST-0160,CRM-INV-00172,2026-01-02,2754.90,Posted
ACCT-INV-00173,CUST-0122,CRM-INV-00173,2026-01-23,2853.52,Posted
ACCT-INV-00174,CUST-0170,CRM-INV-00174,2026-01-17,1698.98,Posted
ACCT-INV-00175,CUST-0028,CRM-INV-00175,2026-01-16,1748.20,Posted
ACCT-INV-00176,CUST-0052,CRM-INV-00176,2026-01-12,7809.60,Posted
ACCT-INV-00177,CUST-0172,CRM-INV-00177,2026-01-03,169.12,Posted
ACCT-INV-00178,CUST-0024,CRM-INV-00178,2026-01-25,5345.77,Posted
ACCT-INV-00179,CUST-0011,CRM-INV-00179,2026-01-28,3340.70,Posted
ACCT-INV-00180,CUST-0036,CRM-INV-00180,2026-01-22,3269.87,Posted
ACCT-INV-00181,CUST-0024,CRM-INV-00181,2026-01-12,3366.66,Posted
ACCT-INV-00182,CUST-0177,CRM-INV-00182,2026-01-28,1687.68,Posted
ACCT-INV-00183,CUST-0152,CRM-INV-00183,2026-01-16,6170.31,Posted
ACCT-INV-00184,CUST-0125,CRM-INV-00184,2026-01-04,4511.47,Posted
ACCT-INV-00185,CUST-0172,CRM-INV-00185,2026-01-28,1988.14,Posted
ACCT-INV-00186,CUST-0165,CRM-INV-00186,2026-01-13,1499.60,Posted
ACCT-INV-00187,CUST-0121,CRM-INV-00187,2026-01-28,6026.66,Posted
ACCT-INV-00188,CUST-0058,CRM-INV-00188,2026-01-18,7272.84,Posted
ACCT-INV-00189,CUST-0031,CRM-INV-00189,2026-01-16,1136.66,Posted
ACCT-INV-00190,CUST-0143,CRM-INV-00190,2026-01-18,9961.50,Posted
ACCT-INV-00191,CUST-0164,CRM-INV-00191,2026-01-10,6005.94,Posted
ACCT-INV-00192,CUST-0159,CRM-INV-00192,2026-01-20,3709.20,Posted
ACCT-INV-00193,CUST-0091,CRM-INV-00193,2026-01-27,3805.49,Posted
ACCT-INV-00194,CUST-0184,CRM-INV-00194,2026-01-24,2755.44,Posted
ACCT-INV-00195,CUST-0049,CRM-INV-00195,2026-01-23,2007.80,Posted
ACCT-INV-00196,CUST-0151,CRM-INV-00196,2026-01-31,7527.82,Posted
ACCT-INV-00197,CUST-0045,CRM-INV-00197,2026-01-24,2844.02,Posted
ACCT-INV-00198,CUST-0099,CRM-INV-00198,2026-01-14,5986.10,Posted
ACCT-INV-00199,CUST-0192,CRM-INV-00199,2026-01-17,3474.54,Posted
ACCT-INV-00200,CUST-0075,CRM-INV-00200,2026-01-22,4597.53,Posted
ACCT-INV-00201,CUST-0195,CRM-INV-00201,2026-01-12,3809.71,Posted
ACCT-INV-00202,CUST-0172,CRM-INV-00202,2026-01-02,1802.91,Posted
ACCT-INV-00203,CUST-0016,CRM-INV-00203,2026-01-23,3250.37,Posted
ACCT-INV-00204,CUST-0144,CRM-INV-00204,2026-01-13,2474.58,Posted
ACCT-INV-00205,CUST-0100,CRM-INV-00205,2026-01-14,5830.90,Posted
ACCT-INV-00206,CUST-0163,CRM-INV-00206,2026-01-23,1798.72,Posted
ACCT-INV-00207,CUST-0175,CRM-INV-00207,2026-01-03,771.40,Posted
ACCT-INV-00208,CUST-0143,CRM-INV-00208,2026-01-09,633.65,Posted
ACCT-INV-00209,CUST-0040,CRM-INV-00209,2026-01-02,389.30,Posted
ACCT-INV-00210,CUST-0147,CRM-INV-00210,2026-01-18,3586.96,Posted
ACCT-INV-00211,CUST-0041,CRM-INV-00211,2026-01-14,9412.19,Posted
ACCT-INV-00212,CUST-0193,CRM-INV-00212,2026-01-20,6885.15,Posted
ACCT-INV-00213,CUST-0030,CRM-INV-00213,2026-01-13,4828.36,Posted
ACCT-INV-00214,CUST-0076,CRM-INV-00214,2026-01-29,1280.86,Posted
ACCT-INV-00215,CUST-0198,CRM-INV-00215,2026-01-18,6699.75,Posted
ACCT-INV-00216,CUST-0019,CRM-INV-00216,2026-01-24,1910.10,Posted
ACCT-INV-00217,CUST-0019,CRM-INV-00217,2026-01-02,984.86,Posted
ACCT-INV-00218,CUST-0105,CRM-INV-00218,2026-01-13,6954.33,Posted
ACCT-INV-00219,CUST-0165,CRM-INV-00219,2026-01-24,2294.98,Posted
ACCT-INV-00220,CUST-0113,CRM-INV-00220,2026-01-13,5101.11,Posted
ACCT-INV-00221,CUST-0140,CRM-INV-00221,2026-01-10,3214.44,Posted
ACCT-INV-00222,CUST-0002,CRM-INV-00222,2026-01-19,6048.01,Posted
ACCT-INV-00224,CUST-0141,CRM-INV-00224,2026-01-03,4596.86,Posted
ACCT-INV-00226,CUST-0082,CRM-INV-00226,2026-01-16,5864.58,Posted
ACCT-INV-00227,CUST-0081,CRM-INV-00227,2026-01-08,2117.09,Posted
ACCT-INV-00228,CUST-0188,CRM-INV-00228,2026-01-11,5807.92,Posted
ACCT-INV-00229,CUST-0036,CRM-INV-00229,2026-01-29,32880.30,Posted
ACCT-INV-00230,CUST-0149,CRM-INV-00230,2026-01-13,6477.33,Posted
ACCT-INV-00231,CUST-0198,CRM-INV-00231,2026-01-19,5285.44,Posted
ACCT-INV-00232,CUST-0170,CRM-INV-00232,2026-01-08,31568.87,Posted
ACCT-INV-00233,CUST-0038,CRM-INV-00233,2026-01-24,4555.02,Posted
ACCT-INV-00234,CUST-0172,CRM-INV-00234,2026-01-07,8769.71,Posted
ACCT-INV-00235,CUST-0068,CRM-INV-00235,2026-01-19,7969.35,Posted
ACCT-INV-00236,CUST-0091,CRM-INV-00236,2026-01-27,5635.21,Posted
ACCT-INV-00237,CUST-0059,CRM-INV-00237,2026-01-03,5107.55,Posted
ACCT-INV-00238,CUST-0085,CRM-INV-00238,2026-01-24,609.76,Posted
ACCT-INV-00239,CUST-0152,CRM-INV-00239,2026-01-06,3411.75,Posted
ACCT-INV-00240,CUST-0038,CRM-INV-00240,2026-01-02,3958.41,Posted
ACCT-INV-00241,CUST-0145,CRM-INV-00241,2026-01-21,818.55,Posted
ACCT-INV-00242,CUST-0056,CRM-INV-00242,2026-01-15,5814.52,Posted
ACCT-INV-00243,CUST-0176,CRM-INV-00243,2026-01-11,5855.74,Posted
ACCT-INV-00244,CUST-0130,CRM-INV-00244,2026-01-22,3160.13,Posted
ACCT-INV-00245,CUST-0169,CRM-INV-00245,2026-01-05,4953.50,Posted
ACCT-INV-00246,CUST-0124,CRM-INV-00246,2026-01-26,4970.08,Posted
ACCT-INV-00247,CUST-0022,CRM-INV-00247,2026-01-10,2792.88,Posted
ACCT-INV-00248,CUST-0053,CRM-INV-00248,2026-01-23,1839.60,Posted
ACCT-INV-00249,CUST-0138,CRM-INV-00249,2026-01-14,7710.26,Posted
ACCT-INV-00250,CUST-0124,CRM-INV-00250,2026-01-09,710.10,Posted
ACCT-INV-00251,CUST-0169,CRM-INV-00251,2026-01-04,2298.92,Posted
ACCT-INV-00252,CUST-0087,CRM-INV-00252,2026-01-26,20836.28,Posted
ACCT-INV-00253,CUST-0017,CRM-INV-00253,2026-01-09,843.46,Posted
ACCT-INV-00254,CUST-0103,CRM-INV-00254,2026-01-20,2848.38,Posted
ACCT-INV-00255,CUST-0154,CRM-INV-00255,2026-01-17,3355.63,Posted
ACCT-INV-00256,CUST-0023,CRM-INV-00256,2026-01-09,3768.51,Posted
ACCT-INV-00257,CUST-0141,CRM-INV-00257,2026-01-10,4132.25,Posted
ACCT-INV-00258,CUST-0105,CRM-INV-00258,2026-01-17,789.16,Posted
ACCT-INV-00259,CUST-0088,CRM-INV-00259,2026-01-31,2414.45,Posted
ACCT-INV-00260,CUST-0148,CRM-INV-00260,2026-01-09,4925.92,Posted
ACCT-INV-00261,CUST-0151,CRM-INV-00261,2026-01-28,152.44,Posted
ACCT-INV-00262,CUST-0098,CRM-INV-00262,2026-01-21,2653.59,Posted
ACCT-INV-00263,CUST-0133,CRM-INV-00263,2026-01-18,817.55,Posted
ACCT-INV-00264,CUST-0024,CRM-INV-00264,2026-01-13,4651.66,Posted
ACCT-INV-00265,CUST-0069,CRM-INV-00265,2026-01-06,2796.36,Posted
ACCT-INV-00266,CUST-0053,CRM-INV-00266,2026-01-08,2014.44,Posted
ACCT-INV-00267,CUST-0021,CRM-INV-00267,2026-01-22,1662.85,Posted
ACCT-INV-00268,CUST-0148,CRM-INV-00268,2026-01-28,3313.58,Posted
ACCT-INV-00269,CUST-0033,CRM-INV-00269,2026-01-02,5416.69,Posted
ACCT-INV-00270,CUST-0118,CRM-INV-00270,2026-01-11,1473.36,Posted
ACCT-INV-00271,CUST-0026,CRM-INV-00271,2026-01-11,4103.55,Posted
ACCT-INV-00272,CUST-0157,CRM-INV-00272,2026-01-11,4448.36,Posted
ACCT-INV-00273,CUST-0103,CRM-INV-00273,2026-01-09,4814.84,Posted
ACCT-INV-00274,CUST-0051,CRM-INV-00274,2026-01-05,1934.03,Posted
ACCT-INV-00275,CUST-0162,CRM-INV-00275,2026-01-17,4534.20,Posted
ACCT-INV-00276,CUST-0066,CRM-INV-00276,2026-01-16,2269.68,Posted
ACCT-INV-00277,CUST-0093,CRM-INV-00277,2026-01-18,8724.51,Posted
ACCT-INV-00278,CUST-0073,CRM-INV-00278,2026-01-12,4557.95,Posted
ACCT-INV-00279,CUST-0119,CRM-INV-00279,2026-01-21,2857.08,Posted
ACCT-INV-00280,CUST-0019,CRM-INV-00280,2026-01-03,2285.26,Posted
ACCT-INV-00281,CUST-0182,CRM-INV-00281,2026-01-09,4259.43,Posted
ACCT-INV-00282,CUST-0006,CRM-INV-00282,2026-01-05,2155.64,Posted
ACCT-INV-00283,CUST-0102,CRM-INV-00283,2026-01-04,2912.64,Posted
ACCT-INV-00284,CUST-0007,CRM-INV-00284,2026-01-25,3664.73,Posted
ACCT-INV-00285,CUST-0064,CRM-INV-00285,2026-01-24,1719.12,Posted
ACCT-INV-00286,CUST-0084,CRM-INV-00286,2026-01-28,9017.38,Posted
ACCT-INV-00287,CUST-0163,CRM-INV-00287,2026-01-29,2912.18,Posted
ACCT-INV-00288,CUST-0040,CRM-INV-00288,2026-01-10,100.65,Posted
ACCT-INV-00289,CUST-0121,CRM-INV-00289,2026-01-18,481.04,Posted
ACCT-INV-00290,CUST-0123,CRM-INV-00290,2026-01-10,153.02,Posted
ACCT-INV-00291,CUST-0153,CRM-INV-00291,2026-01-08,2434.08,Posted
ACCT-INV-00292,CUST-0144,CRM-INV-00292,2026-01-14,3718.08,Posted
ACCT-INV-00293,CUST-0062,CRM-INV-00293,2026-01-17,4032.48,Posted
ACCT-INV-00294,CUST-0117,CRM-INV-00294,2026-01-20,5560.04,Posted
ACCT-INV-00295,CUST-0027,CRM-INV-00295,2026-01-10,4355.98,Posted
ACCT-INV-00296,CUST-0127,CRM-INV-00296,2026-01-07,3408.40,Posted
ACCT-INV-00297,CUST-0193,CRM-INV-00297,2026-01-31,1845.71,Posted
ACCT-INV-00298,CUST-0121,CRM-INV-00298,2026-01-06,3887.73,Posted
ACCT-INV-00299,CUST-0183,CRM-INV-00299,2026-01-08,4196.17,Posted
ACCT-INV-00300,CUST-0054,CRM-INV-00300,2026-01-16,3277.22,Posted
ACCT-INV-00301,CUST-0164,CRM-INV-00301,2026-01-10,676.52,Posted
ACCT-INV-00302,CUST-0061,CRM-INV-00302,2026-01-21,2989.83,Posted
ACCT-INV-00303,CUST-0011,CRM-INV-00303,2026-01-19,2072.96,Posted
ACCT-INV-00304,CUST-0087,CRM-INV-00304,2026-01-30,1903.38,Posted
ACCT-INV-00305,CUST-0180,CRM-INV-00305,2026-01-18,3199.68,Posted
ACCT-INV-00306,CUST-0143,CRM-INV-00306,2026-01-26,4823.97,Posted
ACCT-INV-00307,CUST-0011,CRM-INV-00307,2026-01-16,3274.77,Posted
ACCT-INV-00308,CUST-0120,CRM-INV-00308,2026-01-09,5724.11,Posted
ACCT-INV-00309,CUST-0130,CRM-INV-00309,2026-01-13,3102.42,Posted
ACCT-INV-00310,CUST-0017,CRM-INV-00310,2026-01-22,5568.37,Posted
ACCT-INV-00311,CUST-0029,CRM-INV-00311,2026-01-04,4624.03,Posted
ACCT-INV-00312,CUST-0147,CRM-INV-00312,2026-01-21,4936.04,Posted
ACCT-INV-00313,CUST-0054,CRM-INV-00313,2026-01-21,5679.50,Posted
ACCT-INV-00314,CUST-0069,CRM-INV-00314,2026-01-17,336.08,Posted
ACCT-INV-00315,CUST-0020,CRM-INV-00315,2026-01-31,2095.10,Posted
ACCT-INV-00316,CUST-0049,CRM-INV-00316,2026-01-07,5771.82,Posted
ACCT-INV-00317,CUST-0180,CRM-INV-00317,2026-01-22,6779.08,Posted
ACCT-INV-00318,CUST-0154,CRM-INV-00318,2026-01-15,3995.32,Posted
ACCT-INV-00319,CUST-0083,CRM-INV-00319,2026-01-20,3040.36,Posted
